id;name;release_date;release_price;purchase_date;purchase_price;market_price
1;Supervisor Berkshire;2022-12-27;20839;2022-12-26;46770;22934
2;Bedfordshire knowledge haptic;2022-12-27;23613;2022-12-27;65763;35758
3;Concrete killer;2022-12-26;57320;2022-12-27;78619;53428
4;navigate Bedfordshire;2022-12-27;30317;2022-12-26;53112;17687
5;Generic Games Granite;2022-12-27;1643;2022-12-27;39691;71953
6;purple back;2022-12-26;4930;2022-12-27;75561;86489
7;District intermediate 4th;2022-12-27;78819;2022-12-27;45215;97835
8;Multi-channelled Sol Shirt;2022-12-27;74335;2022-12-27;24981;90643
9;orchestrate;2022-12-27;15362;2022-12-26;5209;63950
10;Arkansas TCP Loan;2022-12-27;59093;2022-12-27;74475;64607
